year,month,region,temp_anomaly,co2,ch4,n2o,tsi,owid_co2,owid_co2_luc,owid_primary_energy,aerosol_optical_depth,decimal_year,time_since_baseline,co2_growth,co2_ma12,ch4_growth,ch4_ma12,n2o_growth,n2o_ma12,temp_ma12,aerosol_log,aerosol_ma12,tsi_anomaly,month_sin,month_cos
2002,1,Global,0.755,372.51,1774.12,316.93,1362.1405334472656,26265.332,32359.027,113894.43,0.0,2002.0,23.0,1.8199999999999932,370.7191666666667,1.25,1771.4250000000002,0.6299999999999955,316.4166666666667,0.5554166666666667,0.0,0.0,0.5182196299235784,0.49999999999999994,0.8660254037844387
2002,2,Global,0.775,372.91,1772.86,316.97,1362.1496276855469,26265.332,32359.027,113894.43,0.0,2002.0833333333333,23.083333333333258,1.7300000000000182,370.8633333333333,0.33999999999991815,1771.4533333333331,0.660000000000025,316.47166666666664,0.5841666666666666,0.0,0.0,0.5273138682048284,0.8660254037844386,0.5000000000000001
2002,3,Global,0.875,373.38,1773.41,316.96,1362.1587219238281,26265.332,32359.027,113894.43,0.0,2002.1666666666667,23.166666666666742,1.8000000000000114,371.0133333333333,-0.2400000000000091,1771.4333333333332,0.75,316.53416666666664,0.61125,0.0,0.0,0.5364081064860784,1.0,6.123233995736766e-17
2002,4,Global,0.565,373.73,1772.74,316.9,1362.1678161621094,26265.332,32359.027,113894.43,0.0,2002.25,23.25,1.830000000000041,371.1658333333333,-1.1299999999998818,1771.3391666666666,0.7799999999999727,316.5991666666667,0.6166666666666667,0.0,0.0,0.5455023447673284,0.8660254037844387,-0.4999999999999998
2002,5,Global,0.635,373.71,1770.28,316.85,1362.1769104003906,26265.332,32359.027,113894.43,0.0,2002.3333333333333,23.333333333333258,1.9499999999999886,371.3283333333333,-0.6000000000001364,1771.2891666666665,0.7400000000000091,316.6608333333333,0.6220833333333333,0.0,0.0,0.5545965830485784,0.49999999999999994,-0.8660254037844387
2002,6,Global,0.525,372.84,1766.89,316.83,1362.1860046386719,26265.332,32359.027,113894.43,0.0,2002.4166666666667,23.416666666666742,2.009999999999991,371.49583333333334,0.790000000000191,1771.3550000000002,0.6699999999999591,316.71666666666664,0.6225,0.0,0.0,0.5636908213298284,1.2246467991473532e-16,-1.0
2002,7,Global,0.605,371.41,1764.26,316.82,1362.1697235107422,26265.332,32359.027,113894.43,0.0,2002.5,23.5,1.9600000000000364,371.65916666666664,1.240000000000009,1771.4583333333333,0.589999999999975,316.7658333333333,0.6237499999999999,0.0,0.0,0.5474096934001409,-0.4999999999999997,-0.8660254037844388
2002,8,Global,0.525,370.35,1766.98,316.82,1362.1280670166016,26265.332,32359.027,113894.43,0.0,2002.5833333333333,23.583333333333258,2.0400000000000205,371.82916666666665,2.4700000000000273,1771.6641666666667,0.5199999999999818,316.80916666666667,0.6275000000000001,0.0,0.0,0.5057531992595159,-0.8660254037844385,-0.5000000000000004
2002,9,Global,0.625,370.67,1773.76,316.87,1362.086410522461,26265.332,32359.027,113894.43,0.0,2002.6666666666667,23.666666666666742,2.3100000000000023,372.0216666666667,3.3199999999999363,1771.9408333333333,0.45999999999997954,316.8475,0.6370833333333333,0.0,0.0,0.4640967051188909,-1.0,-1.8369701987210297e-16
2002,10,Global,0.535,371.95,1778.26,316.99,1362.0447540283203,26265.332,32359.027,113894.43,0.0,2002.75,23.75,2.240000000000009,372.2083333333333,2.769999999999982,1772.1716666666669,0.4000000000000341,316.8808333333333,0.6408333333333334,0.0,0.0,0.4224402109782659,-0.8660254037844386,0.5000000000000001
2002,11,Global,0.585,373.28,1779.49,317.13,1362.0030975341797,26265.332,32359.027,113894.43,0.0,2002.8333333333333,23.833333333333258,2.2199999999999704,372.3933333333334,2.910000000000082,1772.4141666666667,0.37000000000000455,316.9116666666667,0.6295833333333334,0.0,0.0,0.3807837168376409,-0.5000000000000004,0.8660254037844384
2002,12,Global,0.435,374.26,1779.64,317.24,1361.961441040039,26265.332,32359.027,113894.43,0.0,2002.9166666666667,23.916666666666742,2.2799999999999727,372.5833333333333,3.7200000000000273,1772.7241666666669,0.37000000000000455,316.94250000000005,0.62,0.0,0.0,0.3391272226970159,-2.4492935982947064e-16,1.0
