,importance
region_Northern_Extratropics,0.31076911028030946
region_Northern_Hemisphere,0.16820172597929497
ch4,0.12483953053971855
region_Global,0.05887267278923177
co2_growth,0.029904122943648522
ch4_ma12,0.028311939156473214
n2o,0.02773178940467503
region_Southern_Extratropics,0.023906570128241236
time_since_baseline,0.020676680700076187
n2o_ma12,0.020651342749893758
human_vs_natural,0.018819741389170513
ch4_pct_growth,0.01721409500773654
co2,0.01666210455167645
n2o_lag1,0.016176817110901947
n2o_pct_growth,0.014280685970027516
month_sin,0.012591547777344128
tsi_lag1,0.010886542875000644
owid_primary_energy,0.00993496506341657
n2o_growth,0.009050053057501293
co2_pct_growth,0.008486142513434285
ch4_growth,0.00747791381296215
co2_ma12,0.007246786834617606
region_Southern_Hemisphere,0.007108271817894455
tsi,0.006155378944336132
co2_ch4_interaction,0.005266120075267348
owid_co2_luc,0.0042280404820442125
co2_lag1,0.004224912093295988
ch4_lag1,0.0033393656276597605
tsi_anomaly,0.0031428903652313375
month_cos,0.0019878020386747373
owid_co2,0.00185433792024373
aerosol_log,0.0
aerosol_ma12,0.0
aerosol_optical_depth,0.0
volcanic_flag,0.0
