,importance
region_Northern_Extratropics,0.9791721417339808
region_Northern_Hemisphere,0.4468656433408942
region_Global,0.08120994927318421
co2_growth,0.05919238420645375
region_Southern_Extratropics,0.03634399867194292
tsi_lag1,0.03547152171322608
human_vs_natural,0.012373276388799138
month_sin,0.011995314031789528
tsi,0.007285554286713092
ch4_lag1,0.006996902428828633
region_Southern_Hemisphere,0.0051122400320472
month_cos,0.004759715509526019
ch4_pct_growth,0.0037270009648788793
n2o_growth,0.0026825043028156246
co2_pct_growth,0.0005278473313072741
ch4,0.00036986401553046333
n2o_pct_growth,0.000319245512380828
co2_ch4_interaction,9.888394715942272e-05
co2,2.5378242807505557e-05
owid_primary_energy,0.0
time_since_baseline,0.0
aerosol_log,0.0
n2o,0.0
n2o_ma12,0.0
n2o_lag1,0.0
aerosol_ma12,0.0
co2_ma12,0.0
ch4_ma12,0.0
aerosol_optical_depth,0.0
volcanic_flag,0.0
owid_co2,-5.468642978502247e-05
tsi_anomaly,-0.00011926181032364535
owid_co2_luc,-0.0009442220444574545
co2_lag1,-0.0010050440947558137
ch4_growth,-0.003942442928036138
