,importance
region_Northern_Extratropics,0.3137623083471171
region_Northern_Hemisphere,0.1766959815756306
ch4,0.07339608602367895
region_Global,0.06860353632993406
ch4_ma12,0.03297874854962214
co2_growth,0.03091622597948367
owid_primary_energy,0.03066478453973858
n2o,0.025583873622859434
n2o_lag1,0.021546864020476855
ch4_pct_growth,0.020233199586740094
time_since_baseline,0.017991645731037845
co2_ch4_interaction,0.017698481018682346
co2_ma12,0.016333060253978272
co2,0.016303548451443314
n2o_ma12,0.016297487031195202
human_vs_natural,0.01615860229545564
month_sin,0.013821500706556918
n2o_growth,0.012460007169853961
co2_pct_growth,0.011635027329783814
ch4_growth,0.01069616006730347
ch4_lag1,0.010684429185760555
n2o_pct_growth,0.007630787326582604
co2_lag1,0.006887642078808369
tsi_lag1,0.006454137692632043
tsi_anomaly,0.004239276328419776
tsi,0.004143565917439433
month_cos,0.004133935538724853
region_Southern_Extratropics,0.0035880502676925497
region_Southern_Hemisphere,0.0033797624358688186
owid_co2_luc,0.0031778114051236013
owid_co2,0.001903473192374885
aerosol_log,0.0
aerosol_ma12,0.0
aerosol_optical_depth,0.0
volcanic_flag,0.0
