,importance
region_Northern_Extratropics,1.1367827769463905
region_Northern_Hemisphere,0.5409229537971209
region_Global,0.14480436173979552
co2_growth,0.05822437360424136
human_vs_natural,0.013909359088395579
month_sin,0.010281741293686841
tsi_anomaly,0.003365647745571909
region_Southern_Hemisphere,0.0025849795679013243
tsi,0.002430879543913411
tsi_lag1,0.0010453427488701038
month_cos,0.0008797911328812357
owid_co2_luc,0.0008413211445510216
n2o_pct_growth,0.0004762495132719535
owid_co2,0.0002523153702680414
ch4,8.273471825115397e-05
owid_primary_energy,1.6613507165452733e-05
n2o_ma12,0.0
time_since_baseline,0.0
aerosol_log,0.0
volcanic_flag,0.0
n2o_lag1,0.0
aerosol_ma12,-1.1102230246251566e-17
co2_ma12,-1.1102230246251566e-17
ch4_ma12,-1.1102230246251566e-17
aerosol_optical_depth,-1.1102230246251566e-17
n2o,-2.2204460492503132e-17
co2_ch4_interaction,-2.6160871164915277e-07
co2,-2.052526730463855e-05
ch4_lag1,-9.484513026948304e-05
co2_lag1,-0.00017347126975612027
n2o_growth,-0.00022612989998997967
ch4_growth,-0.0002616992700948506
co2_pct_growth,-0.00032113083960796376
ch4_pct_growth,-0.0016929118894473461
region_Southern_Extratropics,-0.0019044039184727523
